provider,model,reasoning_effort,web_search,micro_f1,micro_p,micro_r,example_f1,class_macro_f1,meso_macro_f1,none_p,none_r,none_f1,exact_match,tp,fp,fn,missed_but_named_in_analysis,parsed,truncated,bad_codes,span_verbatim_rate,cache_hit_rate,mean_output_tokens,mean_reasoning_tokens,usd_per_review,projected_usd_at_200000,latency_p50,search_rate,prompt_sha256,tag
openai,gpt-5.6-terra,low,True,0.8333,0.9589,0.7368,0.7995,0.7216,0.845,0.6875,1.0,0.8148,0.58,70,3,25,14,50,0,0,1.0,0.9688,311.5,119.8,0.01022217,2044.43,4.98,0.02,519268bfa1e4012551f7cca35e5e42e04d6d0825d7b4b78df2a10f2c70425f74,gpt-5.6-terra_low_20260821-133638
openai,gpt-5.6-luna,high,True,0.7953,0.8947,0.7158,0.7587,0.8688,0.7951,0.7143,0.9091,0.8,0.52,68,8,27,14,50,0,0,0.9868,0.9661,962.6,740.2,0.00181716,363.43,7.93,0.04,519268bfa1e4012551f7cca35e5e42e04d6d0825d7b4b78df2a10f2c70425f74,gpt-5.6-luna_high_20260821-143046
openai,gpt-5.6-luna,low,True,0.775,0.9538,0.6526,0.7496,0.8399,0.7795,0.6471,1.0,0.7857,0.52,62,3,33,12,50,0,0,1.0,0.974,364.3,158.0,0.0010595,211.9,6.14,0.0,519268bfa1e4012551f7cca35e5e42e04d6d0825d7b4b78df2a10f2c70425f74,gpt-5.6-luna_low_20260821-131310
openai,gpt-5.6-luna,medium,True,0.7342,0.9206,0.6105,0.7268,0.8231,0.7207,0.7143,0.9091,0.8,0.44,58,5,37,19,50,0,0,0.9841,0.9938,485.0,282.7,0.00109356,218.71,5.8,0.0,519268bfa1e4012551f7cca35e5e42e04d6d0825d7b4b78df2a10f2c70425f74,gpt-5.6-luna_medium_20260821-142357
