rank,run_id,model,effort,prompt_name,prompt_sha,temperature,delta_from_top,micro_f1,micro_p,micro_r,class_macro_f1,meso_macro_f1,all_label_macro_f1,exact_match,jaccard_mean,masi_mean,none_p,none_r,none_f1,labels_per_review_mean,cardinality_ratio,label_count_bias,reviews_with_fp_n,reviews_with_fn_n,reviews_exact_correct_n,latency_p50,latency_p95,wall_clock_hours_at_200k,tokens_in_per_review,tokens_out_per_review,usd_per_review,projected_usd_at_200000,cost_per_f1_point,run_variance,compliance_span_verbatim_rate,compliance_oov_label_rate,compliance_parse_failure_rate,compliance_truncation_rate,compliance_retry_count,compliance_gate_pass
1,gpt-5.6-luna_low_teacher_v2_full,gpt-5.6-luna,low,teacher_v2_full,6529a474a2b0,,0.0,0.8434,0.875,0.814,0.7408,0.8842,0.6738758620689655,0.62,0.7776666666666666,0.7160033333333333,0.7273,0.8,0.7619,1.6,0.9302325581395349,-6,9,14,31,8.12,17.67,535.5555555555555,25725.26,478.52,0.00126359,252.72,525.1239669421487,False,1.0,0.0,0.0,0.0,0,True
2,gpt-5.6-luna_low_teacher_v2_boundary,gpt-5.6-luna,low,teacher_v2_boundary,013bb31c5857,,-0.048900000000000055,0.7945,0.9667,0.6744,0.6905,0.8128,0.5331689655172414,0.54,0.7243333333333334,0.6601033333333334,0.5882,1.0,0.7407,1.2,0.6976744186046512,-26,2,22,27,6.39,11.64,386.6666666666667,19343.52,429.96,0.00101785,203.57,348.11463046757177,False,1.0,0.0,0.0,0.0,0,True
3,gpt-5.6-luna_low_teacher_v1,gpt-5.6-luna,low,teacher_v1,e8cd52987c33,,-0.05390000000000006,0.7895,0.9091,0.6977,0.6781,0.814,0.6025275862068965,0.56,0.7136666666666667,0.6503766666666667,0.6,0.9,0.72,1.32,0.7674418604651163,-20,6,21,28,8.24,18.97,531.6666666666666,24350.52,353.14,0.00104884,209.77,410.3448275862072,False,1.0,0.0,0.0,0.0,0,True
4,gpt-5.6-luna_low_teacher_v2_bare,gpt-5.6-luna,low,teacher_v2_bare,ecd3c1810cf2,,-0.1815,0.6619,0.8679,0.5349,0.6104,0.547,0.38403793103448275,0.46,0.628095238095238,0.5664714285714286,0.5556,1.0,0.7143,1.06,0.6162790697674418,-33,5,26,23,5.5,10.75,321.6666666666667,12117.52,385.76,0.00078705,157.41,ref,False,0.9811,0.0,0.0,0.0,0,True
