app_id,market,status,n_reviews,n_relevant,n_newest,finished_utc
com.nekki.shadowfightarena,in,done,5000,5000,0,2026-07-11T22:03:38Z
com.nianticlabs.pokemongo,gb,done,5000,5000,0,2026-07-11T21:52:00Z
com.nianticlabs.pokemongo,in,done,5000,5000,0,2026-07-11T21:52:43Z
com.nianticlabs.pokemongo,us,done,5000,5000,0,2026-07-11T21:53:23Z
com.octro.teenpatti,in,done,5000,5000,0,2026-07-11T22:09:21Z
com.phs.global,gb,done,5000,5000,0,2026-07-11T21:34:11Z
com.phs.global,us,done,5000,5000,0,2026-07-11T21:34:50Z
com.pixonic.wwr,in,done,5000,5000,0,2026-07-11T22:18:41Z
com.plarium.mechlegion,in,done,5000,5000,0,2026-07-11T21:45:30Z
com.plarium.raidlegends,gb,done,5000,5000,0,2026-07-11T21:56:12Z
com.playrix.fishdomdd.gplay,gb,done,5000,5000,0,2026-07-11T21:18:12Z
com.playrix.fishdomdd.gplay,in,done,5000,5000,0,2026-07-11T21:18:53Z
com.playrix.fishdomdd.gplay,us,done,5000,5000,0,2026-07-11T21:19:35Z
com.playrix.gardenscapes,gb,done,5000,5000,0,2026-07-11T21:23:38Z
com.playrix.gardenscapes,in,done,5000,5000,0,2026-07-11T21:24:21Z
com.playrix.gardenscapes,us,done,5000,5000,0,2026-07-11T21:25:02Z
com.playrix.homescapes,gb,done,5000,5000,0,2026-07-11T21:29:31Z
com.playrix.homescapes,in,done,5000,5000,0,2026-07-11T21:30:13Z
com.playrix.homescapes,us,done,5000,5000,0,2026-07-11T21:30:55Z
com.playrix.township,gb,done,5000,5000,0,2026-07-11T22:14:36Z
com.playrix.township,in,done,5000,5000,0,2026-07-11T22:15:17Z
com.playrix.township,us,done,5000,5000,0,2026-07-11T22:15:58Z
com.productmadness.cashmancasino,us,done,5000,5000,0,2026-07-11T20:57:08Z
com.productmadness.lightninglink,us,done,5000,5000,0,2026-07-11T21:39:30Z
com.proximabeta.nikke,us,done,5000,5000,0,2026-07-11T21:26:25Z
com.pubg.imobile,in,done,5000,5000,0,2026-07-11T20:46:17Z
com.readygo.barrel.gp,gb,done,5000,5000,0,2026-07-11T21:37:29Z
com.readygo.barrel.gp,in,done,5000,5000,0,2026-07-11T21:38:08Z
com.readygo.barrel.gp,us,done,5000,5000,0,2026-07-11T21:38:48Z
com.readygo.dark.gp,gb,done,5000,5000,0,2026-07-11T21:06:47Z
com.readygo.dark.gp,us,done,5000,5000,0,2026-07-11T21:07:26Z
com.roblox.client,gb,done,5000,5000,0,2026-07-11T21:57:33Z
com.roblox.client,in,done,5000,5000,0,2026-07-11T21:58:14Z
com.roblox.client,us,done,5000,5000,0,2026-07-11T21:58:56Z
com.run.tower.defense,gb,done,5000,5000,0,2026-07-11T21:32:15Z
com.run.tower.defense,in,done,5000,5000,0,2026-07-11T21:32:54Z
com.run.tower.defense,us,done,5000,5000,0,2026-07-11T21:33:32Z
com.scopely.monopolygo,gb,done,5000,5000,0,2026-07-11T21:48:11Z
com.scopely.monopolygo,in,done,5000,5000,0,2026-07-11T21:48:50Z
com.scopely.monopolygo,us,done,5000,5000,0,2026-07-11T21:49:33Z
com.screenshake.dominodreams,gb,done,5000,5000,0,2026-07-11T21:10:44Z
com.snowprintstudios.tacticus,gb,done,5000,5000,0,2026-07-11T22:19:21Z
com.solitairetripeaks.masterdesign,in,done,5000,5000,0,2026-07-11T20:55:08Z
com.supercell.clashofclans,gb,done,5000,5000,0,2026-07-11T20:58:33Z
com.supercell.clashofclans,in,done,5000,5000,0,2026-07-11T20:59:15Z
com.supercell.clashofclans,us,done,5000,5000,0,2026-07-11T20:59:58Z
com.supercell.clashroyale,gb,done,5000,5000,0,2026-07-11T21:00:41Z
com.supercell.clashroyale,in,done,5000,5000,0,2026-07-11T21:01:22Z
com.supercell.clashroyale,us,done,5000,5000,0,2026-07-11T21:02:06Z
com.superplaystudios.dicedreams,gb,done,5000,5000,0,2026-07-11T21:08:06Z
com.superplaystudios.dicedreams,us,done,5000,5000,0,2026-07-11T21:08:46Z
com.superplaystudios.disneysolitairedreams,gb,done,5000,5000,0,2026-07-11T21:09:25Z
com.superplaystudios.disneysolitairedreams,us,done,5000,5000,0,2026-07-11T21:10:05Z
com.teenpatti.hd.gold,in,done,5000,5000,0,2026-07-11T22:08:43Z
com.tencent.ig,gb,done,5000,5000,0,2026-07-11T21:54:08Z
com.tencent.ig,us,done,5000,5000,0,2026-07-11T21:54:51Z
com.topgamesinc.evony,gb,done,5000,5000,0,2026-07-11T21:14:51Z
com.topgamesinc.evony,in,done,5000,5000,0,2026-07-11T21:15:30Z
com.topgamesinc.evony,us,done,5000,5000,0,2026-07-11T21:16:11Z
com.totalbattle,gb,done,5000,5000,0,2026-07-11T22:13:16Z
com.totalbattle,us,done,5000,5000,0,2026-07-11T22:13:54Z
com.williamsinteractive.jackpotparty,us,done,5000,5000,0,2026-07-11T21:31:36Z
com.yalla.yallagames,in,done,5000,5000,0,2026-07-11T22:22:47Z
com.zjcs.android.us,us,done,4401,4379,22,2026-07-11T22:06:06Z
com.zynga.livepoker,in,done,5000,5000,0,2026-07-11T22:25:01Z
cricketgames.hitwicket.strategy,in,done,5000,5000,0,2026-07-11T21:28:22Z
io.randomco.travel,gb,done,5000,5000,0,2026-07-11T22:16:38Z
io.randomco.travel,in,done,5000,5000,0,2026-07-11T22:17:18Z
io.randomco.travel,us,done,5000,5000,0,2026-07-11T22:17:59Z
jp.konami.pesam,in,done,5000,5000,0,2026-07-11T21:14:11Z
net.peakgames.match,gb,done,5000,5000,0,2026-07-11T21:42:52Z
net.peakgames.match,us,done,5000,5000,0,2026-07-11T21:43:30Z
net.peakgames.toonblast,gb,done,5000,5000,0,2026-07-11T22:10:42Z
net.peakgames.toonblast,us,done,5000,5000,0,2026-07-11T22:11:21Z
net.supertreat.solitaire,gb,done,5000,5000,0,2026-07-11T22:04:18Z
net.supertreat.solitaire,us,done,5000,5000,0,2026-07-11T22:04:58Z
slots.pcg.casino.games.free.android,us,done,5000,5000,0,2026-07-11T20:56:29Z
