app_id,market,scraped,english,min_words,exact_dedup,near_dedup
com.run.tower.defense,in,5000,4984,4740,83,83
com.run.tower.defense,us,5000,4982,4694,249,249
com.scopely.monopolygo,gb,5000,4996,4976,4976,4976
com.scopely.monopolygo,in,5000,4996,4976,181,181
com.scopely.monopolygo,us,5000,4995,4914,1812,1811
com.screenshake.dominodreams,gb,5000,4977,4611,4610,4609
com.snowprintstudios.tacticus,gb,5000,4996,4895,4895,4895
com.solitairetripeaks.masterdesign,in,5000,3760,2086,2085,2085
com.supercell.clashofclans,gb,5000,4998,4937,4929,4922
com.supercell.clashofclans,in,5000,4998,4934,286,284
com.supercell.clashofclans,us,5000,4994,4903,379,378
com.supercell.clashroyale,gb,5000,4998,4976,4975,4975
com.supercell.clashroyale,in,5000,4998,4976,131,131
com.supercell.clashroyale,us,5000,4997,4966,903,902
com.superplaystudios.dicedreams,gb,5000,4996,4927,4927,4926
com.superplaystudios.dicedreams,us,5000,4993,4867,2650,2650
com.superplaystudios.disneysolitairedreams,gb,5000,4988,4654,4654,4652
com.superplaystudios.disneysolitairedreams,us,5000,4986,4517,562,562
com.teenpatti.hd.gold,in,5000,4964,4813,4807,4804
com.tencent.ig,gb,5000,4997,4971,4963,4918
com.tencent.ig,us,5000,4997,4971,788,788
com.topgamesinc.evony,gb,5000,5000,4990,4989,4987
com.topgamesinc.evony,in,5000,5000,4990,177,177
com.topgamesinc.evony,us,5000,5000,4988,733,733
com.totalbattle,gb,5000,4971,4773,4773,4773
com.totalbattle,us,5000,4971,4772,110,110
com.williamsinteractive.jackpotparty,us,5000,4969,4697,4696,4696
com.yalla.yallagames,in,5000,4939,4742,4731,4724
com.zjcs.android.us,us,4401,3633,2485,2485,2485
com.zynga.livepoker,in,5000,4997,4960,4958,4957
cricketgames.hitwicket.strategy,in,5000,4979,4813,4788,4784
io.randomco.travel,gb,5000,4990,4898,4896,4895
io.randomco.travel,in,5000,4990,4901,147,147
io.randomco.travel,us,5000,4989,4886,429,429
jp.konami.pesam,in,5000,4995,4993,4992,4987
net.peakgames.match,gb,5000,4939,4580,4580,4580
net.peakgames.match,us,5000,4914,4428,189,189
net.peakgames.toonblast,gb,5000,4996,4929,4928,4927
net.peakgames.toonblast,us,5000,4996,4915,658,658
net.supertreat.solitaire,gb,5000,4995,4948,4948,4948
net.supertreat.solitaire,us,5000,4994,4941,1351,1351
slots.pcg.casino.games.free.android,us,5000,4998,4899,4897,4897
