rank,run_id,model,effort,prompt_name,prompt_sha,temperature,delta_from_top,micro_f1,micro_p,micro_r,class_macro_f1,meso_macro_f1,all_label_macro_f1,exact_match,jaccard_mean,masi_mean,none_p,none_r,none_f1,labels_per_review_mean,cardinality_ratio,label_count_bias,reviews_with_fp_n,reviews_with_fn_n,reviews_exact_correct_n,latency_p50,latency_p95,wall_clock_hours_at_200k,tokens_in_per_review,tokens_out_per_review,usd_per_review,projected_usd_at_200000,cost_per_f1_point,run_variance,compliance_span_verbatim_rate,compliance_oov_label_rate,compliance_parse_failure_rate,compliance_truncation_rate,compliance_retry_count,compliance_gate_pass
1,gpt-5.6-luna_high_teacher_v2_full,gpt-5.6-luna,high,teacher_v2_full,6529a474a2b0,,0.0,0.8452,0.8659,0.8256,0.7543,0.874,0.7174655172413793,0.66,0.815,0.75059,0.8182,0.9,0.8571,1.64,0.9534883720930233,-4,9,13,33,10.11,34.77,731.1111111111111,25830.86,1104.32,0.00203567,407.13,4450.000000000029,False,1.0,0.0,0.0,0.0,0,True
2,gpt-5.6-luna_high_teacher_v1,gpt-5.6-luna,high,teacher_v1,e8cd52987c33,,-0.014999999999999902,0.8302,0.9041,0.7674,0.7475,0.8409,0.6405379310344828,0.68,0.8196666666666667,0.7589566666666667,0.9091,1.0,0.9524,1.46,0.8488372093023255,-13,6,16,34,13.17,27.25,736.1111111111111,24350.52,897.36,0.00170191,340.38,ref,False,1.0,0.0,0.0,0.0,0,True
3,gpt-5.6-luna_high_teacher_v2_boundary,gpt-5.6-luna,high,teacher_v2_boundary,013bb31c5857,,-0.027599999999999958,0.8176,0.8904,0.7558,0.7446,0.8339,0.6266413793103448,0.68,0.8,0.7519,0.7143,1.0,0.8333,1.46,0.8488372093023255,-13,5,15,34,10.53,29.98,763.3333333333334,19648.04,1164.0,0.00195961,391.92,,False,1.0,0.0,0.0,0.0,0,True
4,gpt-5.6-luna_high_teacher_v2_bare,gpt-5.6-luna,high,teacher_v2_bare,ecd3c1810cf2,,-0.10899999999999999,0.7362,0.7792,0.6977,0.6327,0.7024,0.5410448275862069,0.5,0.6876190476190476,0.6177714285714285,0.5714,0.8,0.6667,1.54,0.8953488372093024,-9,13,16,25,10.31,36.0,754.4444444444445,12486.88,1237.7,0.0018282,365.64,,False,1.0,0.0,0.0,0.0,0,True
