rank,run_id,model,effort,prompt_name,prompt_sha,temperature,delta_from_top,micro_f1,micro_p,micro_r,class_macro_f1,meso_macro_f1,all_label_macro_f1,exact_match,jaccard_mean,masi_mean,none_p,none_r,none_f1,labels_per_review_mean,cardinality_ratio,label_count_bias,reviews_with_fp_n,reviews_with_fn_n,reviews_exact_correct_n,latency_p50,latency_p95,wall_clock_hours_at_200k,tokens_in_per_review,tokens_out_per_review,usd_per_review,projected_usd_at_200000,cost_per_f1_point,run_variance,compliance_span_verbatim_rate,compliance_oov_label_rate,compliance_parse_failure_rate,compliance_truncation_rate,compliance_retry_count,compliance_gate_pass
1,gpt-5.6-luna_none_teacher_v2_full,gpt-5.6-luna,none,teacher_v2_full,6529a474a2b0,,0.0,0.8395,0.8947,0.7907,0.7266,0.859,0.6801034482758621,0.64,0.7693333333333333,0.7155466666666667,0.6429,0.9,0.75,1.52,0.8837209302325582,-10,7,15,32,8.02,18.71,586.6666666666666,25642.88,604.72,0.0012817,256.34,239.085640695428,False,1.0,0.0,0.0,0.0,0,True
2,gpt-5.6-luna_none_teacher_v1,gpt-5.6-luna,none,teacher_v1,e8cd52987c33,,-0.016000000000000014,0.8235,0.9403,0.7326,0.7409,0.8222,0.6708620689655173,0.62,0.77,0.7114333333333334,0.7143,1.0,0.8333,1.34,0.7790697674418605,-19,4,19,31,9.6,21.26,592.2222222222222,24431.38,528.06,0.00116359,232.72,96.98492462311553,False,0.9851,0.0,0.0,0.0,0,True
3,gpt-5.6-luna_none_teacher_v2_boundary,gpt-5.6-luna,none,teacher_v2_boundary,013bb31c5857,,-0.06620000000000004,0.7733,0.9062,0.6744,0.735,0.8143,0.5164137931034483,0.56,0.7463333333333333,0.6764566666666667,0.7692,1.0,0.8696,1.28,0.7441860465116279,-22,4,22,28,7.63,19.55,531.6666666666666,19454.86,597.4,0.00115275,230.55,127.27272727272737,False,1.0,0.0,0.0,0.0,0,True
4,gpt-5.6-luna_none_teacher_v2_bare,gpt-5.6-luna,none,teacher_v2_bare,ecd3c1810cf2,,-0.1553,0.6842,0.7879,0.6047,0.6006,0.5969,0.42997241379310347,0.46,0.6210952380952381,0.5499947619047619,0.5385,0.7,0.6087,1.32,0.7674418604651163,-20,12,23,23,6.79,16.18,423.8888888888889,12470.8,584.36,0.00109603,219.21,ref,False,0.9848,0.0,0.0,0.0,0,True
