rank,run_id,model,effort,prompt_name,prompt_sha,temperature,delta_from_top,micro_f1,micro_p,micro_r,class_macro_f1,meso_macro_f1,all_label_macro_f1,exact_match,jaccard_mean,masi_mean,none_p,none_r,none_f1,labels_per_review_mean,cardinality_ratio,label_count_bias,reviews_with_fp_n,reviews_with_fn_n,reviews_exact_correct_n,latency_p50,latency_p95,wall_clock_hours_at_200k,tokens_in_per_review,tokens_out_per_review,usd_per_review,projected_usd_at_200000,cost_per_f1_point,run_variance,compliance_span_verbatim_rate,compliance_oov_label_rate,compliance_parse_failure_rate,compliance_truncation_rate,compliance_retry_count,compliance_gate_pass
1,gpt-5.6-luna_medium_teacher_v3_full,gpt-5.6-luna,medium,teacher_v3_full,a6ae58246360,,0.0,0.8553,0.9315,0.7907,0.7281,0.8524,0.6330034482758621,0.66,0.7933333333333333,0.7459333333333333,0.6923,0.9,0.7826,1.46,0.8488372093023255,-13,5,14,33,6.16,10.89,365.55555555555554,30122.52,561.42,0.00144515,289.03,378.50467289719603,False,1.0,0.0,0.0,0.0,0,True
2,gpt-5.6-luna_high_teacher_v3_full,gpt-5.6-luna,high,teacher_v3_full,a6ae58246360,,-0.005299999999999971,0.85,0.9189,0.7907,0.7274,0.8551,0.6626862068965518,0.66,0.7946666666666666,0.7458066666666666,0.6923,0.9,0.7826,1.48,0.8604651162790697,-12,5,14,33,7.81,22.85,628.3333333333334,30402.38,1035.14,0.00206959,413.92,1626.2536873156341,False,1.0,0.0,0.0,0.0,0,True
3,deepseek-v4-flash_high_teacher_v3_full,deepseek-v4-flash,high,teacher_v3_full,a6ae58246360,default,-0.02949999999999997,0.8258,0.9275,0.7442,0.6826,0.8195,0.6159310344827587,0.58,0.7216666666666667,0.66925,0.5333,0.8,0.64,1.38,0.8023255813953488,-17,5,18,29,20.1,66.99,1470.5555555555557,31608.66,3125.34,0.00361672,723.34,6126.58064516129,False,1.0,0.0,0.0,0.0,1,True
4,gpt-5.6-luna_xhigh_teacher_v3_full,gpt-5.6-luna,xhigh,teacher_v3_full,a6ae58246360,,-0.03709999999999991,0.8182,0.8,0.8372,0.7365,0.8751,0.6626758620689656,0.68,0.8003333333333333,0.7446433333333333,0.8,0.8,0.8,1.8,1.0465116279069768,4,11,11,34,19.09,80.33,1856.1111111111109,33163.44,3308.78,0.00502672,1005.34,10827.038626609432,False,1.0,0.0,0.0,0.0,3,True
5,deepseek-v4-flash_max_teacher_v3_full,deepseek-v4-flash,max,teacher_v3_full,a6ae58246360,default,-0.07819999999999994,0.7771,0.8592,0.7093,0.6764,0.7392,0.5583379310344827,0.5,0.6693333333333333,0.6077866666666667,0.5333,0.8,0.64,1.42,0.8255813953488372,-15,9,19,25,17.18,121.9,1829.4444444444443,33243.64,3934.92,0.00400448,800.9,19179.513888888858,False,0.9859,0.0,0.0,0.0,6,True
6,gpt-5.6-luna_low_teacher_v3_full,gpt-5.6-luna,low,teacher_v3_full,a6ae58246360,,-0.10699999999999998,0.7483,0.9016,0.6395,0.6744,0.7283,0.5040275862068966,0.54,0.6863333333333334,0.6302233333333334,0.5556,1.0,0.7143,1.22,0.7093023255813954,-25,5,22,27,5.0,9.3,298.8888888888889,30122.52,392.66,0.00124264,248.53,ref,False,0.9836,0.0,0.0,0.0,0,True
