rank,run_id,model,effort,prompt_name,prompt_sha,temperature,delta_from_top,micro_f1,micro_p,micro_r,class_macro_f1,meso_macro_f1,all_label_macro_f1,exact_match,jaccard_mean,masi_mean,none_p,none_r,none_f1,labels_per_review_mean,cardinality_ratio,label_count_bias,reviews_with_fp_n,reviews_with_fn_n,reviews_exact_correct_n,latency_p50,latency_p95,wall_clock_hours_at_200k,tokens_in_per_review,tokens_out_per_review,usd_per_review,projected_usd_at_200000,cost_per_f1_point,run_variance,compliance_span_verbatim_rate,compliance_oov_label_rate,compliance_parse_failure_rate,compliance_truncation_rate,compliance_retry_count,compliance_gate_pass
1,gpt-5.6-luna_medium_teacher_v3_full,gpt-5.6-luna,medium,teacher_v3_full,a6ae58246360,,0.0,0.8553,0.9315,0.7907,0.7281,0.8524,0.6330034482758621,0.66,0.7933333333333333,0.7459333333333333,0.6923,0.9,0.7826,1.46,0.8488372093023255,-13,5,14,33,6.16,10.89,365.55555555555554,30122.52,561.42,0.00144515,289.03,378.50467289719603,False,1.0,0.0,0.0,0.0,0,True
2,gpt-5.6-luna_xhigh_teacher_v2_full,gpt-5.6-luna,xhigh,teacher_v2_full,aad355174ac4,,-0.0046999999999999265,0.8506,0.8409,0.8605,0.7249,0.8952,0.7224827586206897,0.68,0.806,0.75048,0.7273,0.8,0.7619,1.76,1.0232558139534884,2,11,10,34,16.65,71.64,1532.2222222222222,27071.8,2836.0,0.00419496,838.99,5771.847507331376,False,1.0,0.0,0.0,0.0,3,True
3,gpt-5.6-luna_high_teacher_v3_full,gpt-5.6-luna,high,teacher_v3_full,a6ae58246360,,-0.005299999999999971,0.85,0.9189,0.7907,0.7274,0.8551,0.6626862068965518,0.66,0.7946666666666666,0.7458066666666666,0.6923,0.9,0.7826,1.48,0.8604651162790697,-12,5,14,33,7.81,22.85,628.3333333333334,30402.38,1035.14,0.00206959,413.92,1626.2536873156341,False,1.0,0.0,0.0,0.0,0,True
4,gpt-5.6-luna_high_teacher_v2_full,gpt-5.6-luna,high,teacher_v2_full,6529a474a2b0,,-0.010099999999999998,0.8452,0.8659,0.8256,0.7543,0.874,0.7174655172413793,0.66,0.815,0.75059,0.8182,0.9,0.8571,1.64,0.9534883720930233,-4,9,13,33,10.11,34.77,731.1111111111111,25830.86,1104.32,0.00203567,407.13,1636.7389060887515,False,1.0,0.0,0.0,0.0,0,True
5,gpt-5.6-luna_low_teacher_v2_full,gpt-5.6-luna,low,teacher_v2_full,6529a474a2b0,,-0.01189999999999991,0.8434,0.875,0.814,0.7408,0.8842,0.6738758620689655,0.62,0.7776666666666666,0.7160033333333333,0.7273,0.8,0.7619,1.6,0.9302325581395349,-6,9,14,31,8.12,17.67,535.5555555555555,25725.26,478.52,0.00126359,252.72,44.05888538380646,False,1.0,0.0,0.0,0.0,0,True
6,gpt-5.6-luna_medium_teacher_v2_full,gpt-5.6-luna,medium,teacher_v2_full,6529a474a2b0,,-0.019899999999999918,0.8354,0.9167,0.7674,0.7205,0.8471,0.7001379310344827,0.64,0.7646666666666667,0.7157066666666667,0.6429,0.9,0.75,1.44,0.8372093023255814,-14,5,16,32,11.28,20.29,636.1111111111111,25551.52,626.58,0.00140651,281.3,376.2342135476462,False,1.0,0.0,0.0,0.0,0,True
7,gpt-5.6-luna_xhigh_teacher_v3_full,gpt-5.6-luna,xhigh,teacher_v3_full,a6ae58246360,,-0.03709999999999991,0.8182,0.8,0.8372,0.7365,0.8751,0.6626758620689656,0.68,0.8003333333333333,0.7446433333333333,0.8,0.8,0.8,1.8,1.0465116279069768,4,11,11,34,19.09,80.33,1856.1111111111109,33163.44,3308.78,0.00502672,1005.34,10827.038626609432,False,1.0,0.0,0.0,0.0,3,True
8,gpt-5.6-luna_low_teacher_v3_full,gpt-5.6-luna,low,teacher_v3_full,a6ae58246360,,-0.10699999999999998,0.7483,0.9016,0.6395,0.6744,0.7283,0.5040275862068966,0.54,0.6863333333333334,0.6302233333333334,0.5556,1.0,0.7143,1.22,0.7093023255813954,-25,5,22,27,5.0,9.3,298.8888888888889,30122.52,392.66,0.00124264,248.53,ref,False,0.9836,0.0,0.0,0.0,0,True
