rank,run_id,model,effort,prompt_name,prompt_sha,temperature,delta_from_top,micro_f1,micro_p,micro_r,class_macro_f1,meso_macro_f1,all_label_macro_f1,exact_match,jaccard_mean,masi_mean,none_p,none_r,none_f1,labels_per_review_mean,cardinality_ratio,label_count_bias,reviews_with_fp_n,reviews_with_fn_n,reviews_exact_correct_n,latency_p50,latency_p95,wall_clock_hours_at_200k,tokens_in_per_review,tokens_out_per_review,usd_per_review,projected_usd_at_200000,cost_per_f1_point,run_variance,compliance_span_verbatim_rate,compliance_oov_label_rate,compliance_parse_failure_rate,compliance_truncation_rate,compliance_retry_count,compliance_gate_pass
1,gpt-5.6-luna_medium_teacher_v2_full,gpt-5.6-luna,medium,teacher_v2_full,6529a474a2b0,,0.0,0.8354,0.9167,0.7674,0.7205,0.8471,0.7001379310344827,0.64,0.7646666666666667,0.7157066666666667,0.6429,0.9,0.75,1.44,0.8372093023255814,-14,5,16,32,11.28,20.29,636.1111111111111,25551.52,626.58,0.00140651,281.3,801.4731369150777,False,1.0,0.0,0.0,0.0,0,True
2,gpt-5.6-luna_medium_teacher_v1,gpt-5.6-luna,medium,teacher_v1,e8cd52987c33,,-0.011900000000000022,0.8235,0.9403,0.7326,0.722,0.8024,0.6674827586206896,0.6,0.777,0.71179,0.7143,1.0,0.8333,1.34,0.7790697674418605,-19,4,19,30,10.11,20.0,589.4444444444445,24350.52,478.5,0.00119927,239.85,493.14009661835723,False,1.0,0.0,0.0,0.0,0,True
3,gpt-5.6-luna_medium_teacher_v2_boundary,gpt-5.6-luna,medium,teacher_v2_boundary,013bb31c5857,,-0.01419999999999999,0.8212,0.9538,0.7209,0.7064,0.8545,0.605003448275862,0.62,0.7496666666666667,0.7024566666666666,0.6429,0.9,0.75,1.3,0.7558139534883721,-21,3,18,31,9.1,15.82,533.8888888888889,19343.52,584.4,0.00129148,258.3,686.660079051383,False,1.0,0.0,0.0,0.0,0,True
4,gpt-5.6-luna_medium_teacher_v2_bare,gpt-5.6-luna,medium,teacher_v2_bare,ecd3c1810cf2,,-0.11540000000000006,0.72,0.8438,0.6279,0.6327,0.6563,0.4791896551724138,0.46,0.6563333333333333,0.5871233333333333,0.5625,0.9,0.6923,1.28,0.7441860465116279,-22,10,20,23,6.55,12.39,406.1111111111111,12117.52,516.6,0.00094406,188.81,ref,False,1.0,0.0,0.0,0.0,0,True
